,spacegroup.number,delta_volume,density,e_above_hull,structure.lattice.volume,band_gap.optimize_structure_gap,efermi,final_energy,encut,total_magnetization,gaps,is_daoti
count,11089.0,11089.0,11089.0,11089.0,11089.0,0.0,10595.0,11089.0,11089.0,11089.0,11089.0,11089.0
mean,145.17161150689873,4.550748385477229,6.06383916124123,0.08626205011624133,162.3063843867594,,3.6649591046295424,-53.499765131498776,520.0973938136892,1.0610992454692207,1.454467788709532,0.5142032644963477
std,80.00183666232577,32.74541460468707,3.214167373468401,0.2202625673564198,140.83850835838373,,2.9136987721255383,54.58337886691214,4.186046000946866,2.8411919806045702,2.0470904369877174,0.49982076385581015
min,1.0,-1115.366131,0.120455365,0.0,5.602386807,,-14.20135166,-665.6117245,520.0,0.0,0.0,0.0
25%,63.0,0.460052046,3.722216912,0.0,72.59202458,,1.5950436,-71.19010131,520.0,1.02e-05,0.0,0.0
50%,166.0,2.408653121,5.244898245,0.007293025,130.5041304,,3.67073353,-39.630437,520.0,0.0001249,0.0,1.0
75%,221.0,7.371783934,7.7939693939999986,0.06914287,194.3522556,,5.931319095,-21.35741473,520.0,0.02654725,2.6220630000000003,1.0
max,229.0,701.6791350999998,21.93012414,3.211951861,2133.263607,,12.40263252,-0.02108191,700.0,45.0079693,20.265215,1.0
