,id,const,row_max,row_min,row_ever,row_fangcha,colum_max,colum_min,colum_ever,colum_fangcha,neg_max,neg_min,neg_ever,neg_fangcha,dianli_max,dianli_min,dianli_ever,dianli_fangcha,sur_row,sur_colum,sur_neg,sur_dianli,center_elec_num,sur_elec_num,plus1,plus2,plus3,plus4,plus5,plus6,plus7,plus8,plus9,plus10,plus11,plus12,is_daoti,bulk_gap,gap,efm
15,22945,1,5,5,5.0,0.0,16,9,12.5,12.25,2.28,2.0,2.19,0.0081,869.3,719.7,794.5,5595.04,3,17,3.16,1251.2,6,7,4.9932,2852.736,2740.1279999999997,5.1984,4.7961,1565501.44,25,8138102.686000001,7508301.456,14263.68,13700.64,7816861.79,1.0,0.0,1.136651,3.6377309999999996
16,23173,1,6,6,6.0,0.0,12,12,12.0,0.0,2.0,2.0,2.0,0.0,1007.1,1007.1,1007.1,0.0,5,17,2.66,1008.4,12,7,4.0,2016.8,2016.8,4.0,4.0,1016870.56,36,4067482.24,4067482.24,12100.8,12100.8,4067482.24,1.0,0.0,1.379234,1.160168
17,23205,1,3,3,3.0,0.0,2,2,2.0,0.0,1.31,1.31,1.31,0.0,737.7,737.7,737.7,0.0,5,17,2.66,1008.4,2,7,1.7161,1321.004,1321.004,1.7161,1.7161,1016870.56,9,1745051.5680000002,1745051.5680000002,3963.012,3963.012,1745051.5680000002,0.0,1.4965116000000003,3.522693,6.1718470000000005
18,23210,1,3,3,3.0,0.0,2,2,2.0,0.0,1.31,1.31,1.31,0.0,737.7,737.7,737.7,0.0,3,17,3.16,1251.2,2,7,1.7161,1639.0720000000001,1639.0720000000001,1.7161,1.7161,1565501.44,9,2686557.021,2686557.021,4917.215999999999,4917.215999999999,2686557.021,0.0,3.02422814,5.983278,4.18163
19,23229,1,4,4,4.0,0.0,8,8,8.0,0.0,1.83,1.83,1.83,0.0,762.5,762.5,762.5,0.0,3,17,3.16,1251.2,8,7,3.3489,2289.696,2289.696,3.3489,3.3489,1565501.44,16,5242707.772,5242707.772,9158.784,9158.784,5242707.772,1.0,0.0,1.25066,5.977323
20,23275,1,4,4,4.0,0.0,4,4,4.0,0.0,1.54,1.54,1.54,0.0,658.8,658.8,658.8,0.0,3,17,3.16,1251.2,4,7,2.3716,1926.848,1926.848,2.3716,2.3716,1565501.44,16,3712743.215,3712743.215,7707.392,7707.392,3712743.215,1.0,0.0,0.777,3.2261330000000004
21,23281,1,5,5,5.0,0.0,15,15,15.0,0.0,2.05,2.0,2.05,0.0,834.0,834.0,834.0,0.0,5,17,2.66,1008.4,5,7,4.2025,2067.22,2067.22,4.2025,4.2025,1016870.56,25,4273398.528,4273398.528,10336.1,10336.1,4273398.528,0.0,0.7038429159999999,2.096564,1.262389
22,23292,1,6,6,6.0,0.0,12,12,12.0,0.0,2.0,2.0,2.0,0.0,1007.1,1007.1,1007.1,0.0,4,17,2.96,1139.9,12,7,4.0,2279.8,2279.8,4.0,4.0,1299372.01,36,5197488.04,5197488.04,13678.8,13678.8,5197488.04,0.0,2.33081835,1.9030049999999998,1.1330719999999999
23,23309,1,4,4,4.0,0.0,3,3,3.0,0.0,1.36,1.36,1.36,0.0,633.1,633.1,633.1,0.0,3,17,3.16,1251.2,3,7,1.8496,1701.632,1701.632,1.8496,1.8496,1565501.44,16,2895551.463,2895551.463,6806.528,6806.528,2895551.463,1.0,0.0,3.8710620000000002,1.7537310000000002
24,25469,1,3,3,3.0,0.0,13,13,13.0,0.0,1.61,1.61,1.61,0.0,577.5,577.5,577.5,0.0,3,17,3.16,1251.2,3,7,2.5921,2014.432,2014.432,2.5921,2.5921,1565501.44,9,4057936.2830000003,4057936.2830000003,6043.295999999999,6043.295999999999,4057936.2830000003,0.0,2.34436827,5.4801839999999995,1.662211
