mp_id,spacegroup.number,delta_volume,density,full_formula,e_above_hull,structure.lattice.volume,band_gap.optimize_structure_gap,efermi,final_energy,encut,total_magnetization,gaps,is_daoti,composition,minimum Number,maximum Number,range Number,mean Number,avg_dev Number,mode Number,minimum MendeleevNumber,maximum MendeleevNumber,range MendeleevNumber,mean MendeleevNumber,avg_dev MendeleevNumber,mode MendeleevNumber,minimum AtomicWeight,maximum AtomicWeight,range AtomicWeight,mean AtomicWeight,avg_dev AtomicWeight,mode AtomicWeight,minimum MeltingT,maximum MeltingT,range MeltingT,mean MeltingT,avg_dev MeltingT,mode MeltingT,minimum Column,maximum Column,range Column,mean Column,avg_dev Column,mode Column,minimum Row,maximum Row,range Row,mean Row,avg_dev Row,mode Row,minimum CovalentRadius,maximum CovalentRadius,range CovalentRadius,mean CovalentRadius,avg_dev CovalentRadius,mode CovalentRadius,minimum Electronegativity,maximum Electronegativity,range Electronegativity,mean Electronegativity,avg_dev Electronegativity,mode Electronegativity,minimum NsValence,maximum NsValence,range NsValence,mean NsValence,avg_dev NsValence,mode NsValence,minimum NpValence,maximum NpValence,range NpValence,mean NpValence,avg_dev NpValence,mode NpValence,minimum NdValence,maximum NdValence,range NdValence,mean NdValence,avg_dev NdValence,mode NdValence,minimum NfValence,maximum NfValence,range NfValence,mean NfValence,avg_dev NfValence,mode NfValence,minimum NValence,maximum NValence,range NValence,mean NValence,avg_dev NValence,mode NValence,minimum NsUnfilled,maximum NsUnfilled,range NsUnfilled,mean NsUnfilled,avg_dev NsUnfilled,mode NsUnfilled,minimum NpUnfilled,maximum NpUnfilled,range NpUnfilled,mean NpUnfilled,avg_dev NpUnfilled,mode NpUnfilled,minimum NdUnfilled,maximum NdUnfilled,range NdUnfilled,mean NdUnfilled,avg_dev NdUnfilled,mode NdUnfilled,minimum NfUnfilled,maximum NfUnfilled,range NfUnfilled,mean NfUnfilled,avg_dev NfUnfilled,mode NfUnfilled,minimum NUnfilled,maximum NUnfilled,range NUnfilled,mean NUnfilled,avg_dev NUnfilled,mode NUnfilled,minimum GSvolume_pa,maximum GSvolume_pa,range GSvolume_pa,mean GSvolume_pa,avg_dev GSvolume_pa,mode GSvolume_pa,minimum GSbandgap,maximum GSbandgap,range GSbandgap,mean GSbandgap,avg_dev GSbandgap,mode GSbandgap,minimum GSmagmom,maximum GSmagmom,range GSmagmom,mean GSmagmom,avg_dev GSmagmom,mode GSmagmom,minimum SpaceGroupNumber,maximum SpaceGroupNumber,range SpaceGroupNumber,mean SpaceGroupNumber,avg_dev SpaceGroupNumber,mode SpaceGroupNumber,composition_oxid,minimum oxidation state,maximum oxidation state,range oxidation state,std_dev oxidation state
mp-665,164,12.47615783,5.120499523,Sn1Se2,0,89.70900447,,2.67748873,-12.01978309,520,8.44E-05,0,1,Sn1 Se2,34,50,16,39.33333333,7.111111111,34,80,89,9,86,4,89,78.96,118.71,39.75,92.21,17.66666667,78.96,494,505.08,11.08,497.6933333,4.924444444,494,14,16,2,15.33333333,0.888888889,16,4,5,1,4.333333333,0.444444444,4,120,139,19,126.3333333,8.444444444,120,1.96,2.55,0.59,2.353333333,0.262222222,2.55,2,2,0,2,0,2,2,4,2,3.333333333,0.888888889,4,10,10,0,10,0,10,0,0,0,0,0,0,14,16,2,15.33333333,0.888888889,16,0,0,0,0,0,0,2,4,2,2.666666667,0.888888889,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2.666666667,0.888888889,2,25.92,33.285,7.365,28.375,3.273333333,25.92,0,0.799,0.799,0.532666667,0.355111111,0.799,0,0,0,0,0,0,14,141,127,56.33333333,56.44444444,14,Sn4+1 Se2-2,-2,4,6,4.242640687
mp-672,186,8.620580596,4.575653036,Cd2S2,0,104.8628628,,0.88322475,-12.6478595,520,5.47E-05,0,1,Cd2 S2,16,48,32,32,16,16,70,88,18,79,9,70,32.065,112.411,80.346,72.238,40.173,32.065,388.36,594.22,205.86,491.29,102.93,388.36,12,16,4,14,2,12,3,5,2,4,1,3,105,144,39,124.5,19.5,105,1.69,2.58,0.89,2.135,0.445,1.69,2,2,0,2,0,2,0,4,4,2,2,0,0,10,10,5,5,0,0,0,0,0,0,0,6,12,6,9,3,6,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,19.495,25.786875,6.291875,22.6409375,3.1459375,19.495,0,2.202,2.202,1.101,1.101,0,0,0,0,0,0,0,70,194,124,132,62,70,Cd2+2 S2-2,-2,2,4,2.828427125
mp-820,216,5.410557137,7.517549948,Hg1Se1,0,61.74933214,,0.89311123,-4.21279593,520,0,0,1,Hg1 Se1,34,80,46,57,23,34,71,89,18,80,9,71,78.96,200.59,121.63,139.775,60.815,78.96,234.32,494,259.68,364.16,129.84,234.32,12,16,4,14,2,12,4,6,2,5,1,4,120,132,12,126,6,120,2,2.55,0.55,2.275,0.275,2,2,2,0,2,0,2,0,4,4,2,2,0,10,10,0,10,0,10,0,14,14,7,7,0,16,26,10,21,5,16,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,25.23758621,25.92,0.682413793,25.5787931,0.341206897,25.23758621,0,0.799,0.799,0.3995,0.3995,0,0,0,0,0,0,0,14,166,152,90,76,14,Hg2+1 Se2-1,-2,2,4,2.828427125
mp-933,225,0.542243741,5.473715587,Y1As1,0,49.69967332,,3.99800199,-14.22770781,520,1.27E-05,0,1,Y1 As1,33,39,6,36,3,33,12,84,72,48,36,12,74.9216,88.90585,13.98425,81.913725,6.992125,74.9216,1090,1799,709,1444.5,354.5,1090,3,15,12,9,6,3,4,5,1,4.5,0.5,4,119,190,71,154.5,35.5,119,1.22,2.18,0.96,1.7,0.48,1.22,2,2,0,2,0,2,0,3,3,1.5,1.5,0,1,10,9,5.5,4.5,1,0,0,0,0,0,0,3,15,12,9,6,3,0,0,0,0,0,0,0,3,3,1.5,1.5,0,0,9,9,4.5,4.5,0,0,0,0,0,0,0,3,9,6,6,3,3,22.175,32.365,10.19,27.27,5.095,22.175,0,0,0,0,0,0,0,0,0,0,0,0,166,194,28,180,14,166,Y3+1 As3-1,-3,3,6,4.242640687
mp-984,194,5.631640964,1.956241324,B2N2,0.00056793,42.13259297,,1.20728156,-35.14819535,520,0,0,1,B2 N2,5,7,2,6,1,5,72,82,10,77,5,72,10.811,14.0067,3.1957,12.40885,1.59785,10.811,63.05,2348,2284.95,1205.525,1142.475,63.05,13,15,2,14,1,13,2,2,0,2,0,2,71,84,13,77.5,6.5,71,2.04,3.04,1,2.54,0.5,2.04,2,2,0,2,0,2,1,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,1,3,0,0,0,0,0,0,3,5,2,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,1,3,7.1725,14.76875,7.59625,10.970625,3.798125,7.1725,1.524,6.437,4.913,3.9805,2.4565,1.524,0,0,0,0,0,0,166,194,28,180,14,166,B3+2 N3-2,-3,3,6,4.242640687
mp-994,225,0.307359636,4.345810957,Y1P1,0,45.80612866,,4.44361262,-15.13060237,520,3.10E-06,0,1,Y1 P1,15,39,24,27,12,15,12,83,71,47.5,35.5,12,30.973762,88.90585,57.932088,59.939806,28.966044,30.973762,317.3,1799,1481.7,1058.15,740.85,317.3,3,15,12,9,6,3,3,5,2,4,1,3,107,190,83,148.5,41.5,107,1.22,2.19,0.97,1.705,0.485,1.22,2,2,0,2,0,2,0,3,3,1.5,1.5,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,3,5,2,4,1,3,0,0,0,0,0,0,0,3,3,1.5,1.5,0,0,9,9,4.5,4.5,0,0,0,0,0,0,0,3,9,6,6,3,3,22.5702381,32.365,9.794761905,27.46761905,4.897380952,22.5702381,0,1.625,1.625,0.8125,0.8125,0,0,0,0,0,0,0,2,194,192,98,96,2,Y3+1 P3-1,-3,3,6,4.242640687
mp-1039,186,6.259814288,3.64879026,Mg2Te2,0,138.2618155,,2.01381354,-12.99041779,520,4.48E-05,0,1,Mg2 Te2,12,52,40,32,20,12,68,90,22,79,11,68,24.305,127.6,103.295,75.9525,51.6475,24.305,722.66,923,200.34,822.83,100.17,722.66,2,16,14,9,7,2,3,5,2,4,1,3,138,141,3,139.5,1.5,138,1.31,2.1,0.79,1.705,0.395,1.31,2,2,0,2,0,2,0,4,4,2,2,0,0,10,10,5,5,0,0,0,0,0,0,0,2,16,14,9,7,2,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,22.89,34.76333333,11.87333333,28.82666667,5.936666667,22.89,0,0.464,0.464,0.232,0.232,0,0,0,0,0,0,0,152,194,42,173,21,152,Mg2+2 Te2-2,-2,2,4,2.828427125
mp-1070,186,7.763128585,5.301027405,Cd2Se2,0.001059185,119.8933687,,0.5013296,-11.31378918,520,3.22E-05,0,1,Cd2 Se2,34,48,14,41,7,34,70,89,19,79.5,9.5,70,78.96,112.411,33.451,95.6855,16.7255,78.96,494,594.22,100.22,544.11,50.11,494,12,16,4,14,2,12,4,5,1,4.5,0.5,4,120,144,24,132,12,120,1.69,2.55,0.86,2.12,0.43,1.69,2,2,0,2,0,2,0,4,4,2,2,0,10,10,0,10,0,10,0,0,0,0,0,0,12,16,4,14,2,12,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,19.495,25.92,6.425,22.7075,3.2125,19.495,0,0.799,0.799,0.3995,0.3995,0,0,0,0,0,0,0,14,194,180,104,90,14,Cd2+2 Se2-2,-2,2,4,2.828427125
mp-1087,225,1.216907286,3.566053226,Sr1S1,0,55.73153354,,1.81671668,-10.11311164,520,0,0,1,Sr1 S1,16,38,22,27,11,16,8,88,80,48,40,8,32.065,87.62,55.555,59.8425,27.7775,32.065,388.36,1050,661.64,719.18,330.82,388.36,2,16,14,9,7,2,3,5,2,4,1,3,105,195,90,150,45,105,0.95,2.58,1.63,1.765,0.815,0.95,2,2,0,2,0,2,0,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,4,2,2,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,25.786875,54.23,28.443125,40.0084375,14.2215625,25.786875,0,2.202,2.202,1.101,1.101,0,0,0,0,0,0,0,70,225,155,147.5,77.5,70,Sr2+1 S2-1,-2,2,4,2.828427125
mp-1123,216,4.148648406,7.128034118,Hg1S1,0,54.1990546,,1.36595528,-4.69644453,520,1.00E-07,0,1,Hg1 S1,16,80,64,48,32,16,71,88,17,79.5,8.5,71,32.065,200.59,168.525,116.3275,84.2625,32.065,234.32,388.36,154.04,311.34,77.02,234.32,12,16,4,14,2,12,3,6,3,4.5,1.5,3,105,132,27,118.5,13.5,105,2,2.58,0.58,2.29,0.29,2,2,2,0,2,0,2,0,4,4,2,2,0,0,10,10,5,5,0,0,14,14,7,7,0,6,26,20,16,10,6,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,25.23758621,25.786875,0.549288793,25.5122306,0.274644397,25.23758621,0,2.202,2.202,1.101,1.101,0,0,0,0,0,0,0,70,166,96,118,48,70,Hg2+1 S2-1,-2,2,4,2.828427125
