,spacegroup.number,delta_volume,density,e_above_hull,structure.lattice.volume,band_gap.optimize_structure_gap,efermi,final_energy,encut,total_magnetization,gaps,is_daoti
count,688.0,688.0,688.0,688.0,688.0,0.0,659.0,688.0,688.0,688.0,688.0,688.0
mean,116.52616279069767,38.74775122611295,4.019405936263329,0.03952215410644183,359.3497030679691,,1.1024790239757207,-50.61015332656977,520.0,0.10029647985779017,-9.98546511627907,0.0014534883720930232
std,75.47485318292212,66.08491454112864,1.6082523676684908,0.1054005864437229,359.4243585704194,,2.1916668033917714,53.484581050219,0.0,0.593960747451596,0.38124642583151175,0.03812464258315117
min,1.0,-205.28333213167892,0.38456799579272455,0.0,15.780417470396529,,-14.02737936,-522.36251489,520.0,0.0,-10.0,0.0
25%,41.0,2.5739731785161024,2.7553026472552142,0.0,110.7967572351938,,-0.28046919000000003,-61.4685502375,520.0,2.0458333333333334e-06,-10.0,0.0
50%,139.0,15.123088919032114,4.076547949472026,0.0007678023650793397,225.99074084336917,,1.00842447,-33.91549826,520.0,3.01625e-05,-10.0,0.0
75%,166.0,47.95510225412055,5.047126311976195,0.022796727866211123,467.99137161685564,,2.64943224,-18.0004937325,520.0,0.000156825,-10.0,0.0
max,229.0,687.214480222905,10.330933909342797,1.2372038575,1958.8020287340994,,6.28466311,-0.02108191,520.0,7.9998295,0.0,1.0
