id,hse,pbe,diff
1,0,0,0
2,0,0,0
7,3.63082,2.47397,1.15685
9,0,0,0
10,0,0,0
11,0,0,0
13,0,0,0
17,0,0,0
19,0.709214,0.691131,0.018083
20,0,0,0
21,0,0,0
23,0,0,0
24,3.803041,2.644668,1.158373
25,9.953117,7.615522,2.337595
26,0,0,0
27,0,0,0
30,0,0,0
32,0,0,0
33,0,0,0
35,0,0,0
36,0,0,0
39,0,0,0
41,0,0,0
42,0,0,0
45,0,0,0
46,0,0,0
47,4.483277,3.360441,1.122836
50,0,0,0
51,0,0,0
66,5.517019,4.317937,1.199082
67,0,0,0
70,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,3.63954,2.581011,1.058529
87,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
94,0,0,0
95,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
109,0,0,0
110,0,0,0
112,0,0,0
113,0,0,0
117,0,0,0
118,4.515514,3.594351,0.921163
119,0,0,0
122,0,0,0
124,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,0
137,0.67811,0.34527,0.33284
139,0,0,0
142,0,0,0
146,0,0,0
148,0,0,0
149,1.206395,0.610149,0.596246
150,0,0,0
153,0,0,0
154,9.964591,7.629273,2.335318
156,0,0,0
160,2.069607,1.478856,0.590751
165,1.007328,0.421204,0.586124
168,0,0,0
173,0,0,0
174,0,0,0
179,0,0,0
182,0,0,0
188,0,0,0
189,0.73331,0.215849,0.517461
190,0,0,0
191,0,0,0
203,0,0,0
208,0,0,0
210,0,0,0
213,0,0,0
215,0,0,0
219,0,0,0
223,3.031175,3.230919,-0.199744
224,2.223582,1.647641,0.575941
226,1.817987,0.376189,1.441798
228,0,0,0
229,0,0,0
251,0,0,0
252,2.984391,2.014505,0.969886
253,0,0,0
255,0,0,0
256,0.503283,0,0.503283
258,0,0,0
