material_id,spacegroup.number,delta_volume,density,full_formula,e_above_hull,structure.lattice.volume,band_gap.optimize_structure_gap,efermi,final_energy,encut,total_magnetization
mp-132,194,-6.621464502,1.569030808,Ca2,0.02441685,84.83081827,,2.00607698,-3.99480442,520,0.00018935
mp-133,221,3.244930093,6.769202947,Sb1,0.048567055,29.86869135,,7.15822847,-4.07919422,520,3.92E-05
mp-134,225,-0.358233459,2.72005023,Al1,0,16.47171722,,8.05677666,-3.74810318,520,5.00E-07
mp-135,229,-0.91509828,0.572833385,Li1,0,20.12068742,,-0.22274646,-1.90797265,520,7.17E-05
mp-136,194,-11.30140595,9.031486699,Fe2,0.080240365,20.53544578,,6.27682488,-16.75918101,520,1.00E-07
mp-137,96,42.78992435,5.608375057,Ge12,0.144267103,258.088779,,2.74303374,-53.74174922,520,1.02E-06
mp-139,194,-2.975287828,2.63483349,Sr2,0.00549138,110.4407024,,1.6016403,-3.3609473,520,0.0058639
mp-142,64,-5.349392374,5.742582786,Ga4,0,80.645081,,2.82426444,-12.14893376,520,2.23E-06
mp-146,229,-4.268749207,6.312967371,V1,0,13.39945932,,5.8753213,-9.0866256,520,5.50E-06
mp-148,69,69.65099038,6.212377728,Ge8,0.240134679,155.330614,,4.16304088,-35.06089221,520,1.25E-08
mp-149,227,0.851482217,2.281194301,Si2,0,40.88829189,,5.63422086,-10.85073298,520,0
mp-150,225,-0.142104894,7.655096589,Fe1,0.14822141,12.11386448,,4.9377636,-8.31160946,520,2.5829237
mp-153,194,1.115394791,1.751648643,Mg2,0.01034393,46.08161749,,3.43405787,-3.18798206,520,0.0001844
mp-154,198,22.15451549,0.918785621,N8,8.88E-16,202.5166405,,-6.87143574,-66.61534328,520,0
mp-156,225,-8.582634092,6.230178924,La1,0,37.02268565,,7.87413101,-4.94788566,520,9.45E-05
mp-160,166,-0.488569602,2.476400445,B12,0,86.99120175,,6.10843561,-80.14231912,520,0
mp-165,194,-1.103600689,2.281615853,Si4,0.01074589,81.76147471,,5.89886507,-21.6584824,520,0
mp-168,206,1.928421529,2.530928494,Si8,0.158594829,147.4148932,,7.05217149,-42.13417329,520,1.25E-08
mp-173,63,-2.870730418,3.352782975,Mn2Al12,0,214.7768945,,7.8511753,-65.68627296,520,0.0007833
mp-174,140,-82.2446678,8.671997596,Tl10Te6,0.009106663,537.9583107,,4.82179021,-46.99215526,520,2.75E-06
mp-179,225,40.58396862,4.925357535,Y1Zn1,0.276587435,52.02583387,,2.38206579,-7.9029071,520,0.0001934
mp-182,191,1.749952994,4.754547631,Sr1Ga2,0,79.30343472,,2.41163773,-9.25400212,520,2.41E-05
mp-188,221,10.35847252,16.84127963,Al1Pt3,0.018030456,60.36582222,,7.97155432,-24.66811597,520,8.48E-05
mp-189,198,6.954008179,8.035131593,Si4Ru4,0,106.7650218,,9.86186783,-63.9835629,520,1.45E-06
mp-190,221,62.63689581,7.108138042,Re6O18,0.000681807,328.2774271,,1.86399589,-202.5575319,520,9.83E-06
mp-191,221,1.23013569,7.797625058,Y1Rh1,0,40.84708262,,4.934016,-15.53442976,520,6.65E-05
mp-203,194,0.930831254,8.38932871,Ni2Te2,0.004219593,73.74784665,,9.07507137,-18.59359433,520,1.50E-06
mp-208,62,5.474528432,13.69347505,Ge4Ir4,0,128.47152,,6.47104914,-56.43843732,520,8.30E-06
mp-210,194,88.98540849,1.846625348,Ba6Li24,0.000365132,890.7276754,,0.56738038,-57.32795159,520,0.0006992
mp-213,221,3.146855063,5.53469945,Ca1Pd1,0,43.95281993,,3.59125823,-8.5451698,520,1.50E-06
mp-215,225,0.723160855,5.828631379,Y1Sb1,0,60.01732577,,5.08713069,-12.91838612,520,7.98E-05
mp-219,187,0.473409719,7.222266225,Mo1P1,0,29.17993466,,9.54122332,-17.57210586,520,0.0002691
mp-223,154,11.49056939,4.043546839,Ge3O6,7.39E-05,128.9141584,,-0.80326528,-58.11268701,520,1.17E-05
mp-224,194,18.73862284,6.576662388,W2S4,0,125.2197061,,4.0250493,-47.35929753,520,1.71E-05
mp-226,205,-1.070211428,5.050093189,Fe4S8,0.007088297,157.7976199,,7.75050898,-72.85047402,520,0.000201525
mp-228,164,2.210534174,7.928540509,Te2Rh1,0.014147702,75.00096172,,6.72102154,-14.8191787,520,7.98E-05
mp-229,221,2.218891335,10.58653824,Zr1Rh3,0,62.73219811,,5.96928225,-33.33234936,520,6.95E-05
mp-251,225,0.934554389,14.96910905,Ta1N1,0.326768168,21.62651699,,9.33769369,-21.88380664,520,4.92E-05
mp-252,216,0.965779853,4.985107339,Be1Te1,0,45.50551194,,4.56523841,-7.60037396,520,0
mp-253,227,-18.93945301,6.582231951,Sc2Co4,0,82.15231279,,5.24119338,-43.21462816,520,1.75853975
mp-255,63,11.93882986,6.938359657,Na4Hg4,0,214.0349903,,1.87635407,-8.47095171,520,1.31E-05
mp-256,225,2.624080783,6.786982053,La1N1,0.012962275,37.41230285,,7.89080517,-15.88708238,520,5.43E-05
mp-258,227,-5.755866747,6.433458954,Zr2V4,0.045464385,99.68563248,,4.8905691,-53.16876001,520,0.02898555
mp-259,223,1.998809613,8.470006364,Al2Mo6,0,123.433259,,8.40058735,-74.49085412,520,7.90E-06
mp-261,194,6.84559783,3.843168297,Ba6Al10,0.001172882,472.5944611,,3.90182306,-52.6911227,520,0.0006943
mp-265,221,1.914942203,20.76033384,Ta1Ir3,0,60.59741266,,8.84939947,-41.18339822,520,7.90E-05
mp-267,58,4.817738647,8.405141636,Te4Ru2,0,140.771035,,8.09658579,-33.12616839,520,3.95E-06
mp-282,225,0.755994221,4.072180198,Ti1F2,0.259851173,35.01323511,,6.00956915,-19.80301256,520,2.000069
mp-284,221,-2.37602718,6.136770618,Al1Co1,0,23.24753166,,8.30493473,-12.0649413,520,2.70E-06
mp-288,131,2.904897092,9.865042039,Pt2S2,0,76.46997973,,5.08056647,-22.02208669,520,2.22E-05
mp-291,221,0.433639245,13.33376098,Ti1Os1,0,29.65175125,,7.61031979,-20.54266726,520,1.70E-06
mp-292,223,-0.451364218,7.121142528,V6As2,0,106.2136557,,7.38932275,-67.42306958,520,7.80E-06
mp-303,63,6.64309114,6.230643808,Ba2Zn10,0,247.5210777,,2.52092085,-19.14899077,520,9.50E-07
mp-304,62,0.224017593,2.991327769,Ca8Ge4,0,339.2790664,,2.81053649,-41.91659158,520,6.35E-06
mp-305,221,-6.171895716,6.642034361,Ti1Fe1,0,25.92847546,,6.58810599,-17.19513769,520,1.11E-05
mp-306,152,11.7434268,2.343828899,B6O9,0,147.9720556,,-0.43369962,-120.3692711,520,0
mp-313,139,0.758154636,4.447056032,Y1C2,0.070430449,42.16724636,,4.99743973,-25.47777976,520,0.0001367
mp-315,225,1.529861749,7.550324717,Pb1F2,0,53.92600779,,1.52221392,-14.65866316,520,1.20E-06
mp-316,221,-0.751083212,7.406263759,Mn1V1,0,23.73897605,,6.64510908,-18.80966575,520,7.50E-05
mp-317,198,6.344433254,10.39065757,Sn4Rh4,0,141.6661794,,9.22397605,-49.19269933,520,4.20E-05
mp-318,227,2.632176773,13.42630466,Sr2Ir4,0,116.7654267,,5.80755431,-40.38772943,520,4.80E-05
mp-321,140,-56.33839568,12.44565865,Rh2Pb4,0,138.0410636,,7.87009949,-30.02616908,520,1.89E-05
mp-322,140,-39.85533247,7.075924469,Tl4S4,0.049609109,221.9535467,,3.90189851,-27.62780233,520,4.87E-05
mp-328,140,-3.067367956,7.189327528,Zr4Ni2,0,111.3942041,,5.08365346,-47.68795814,520,5.50E-07
mp-331,221,-0.350724089,3.099619548,Sc1Al1,0,38.53858298,,6.01402599,-10.97763507,520,0.0003602
mp-333,227,-28.03251725,11.26569055,Hf2Fe4,0,85.54384065,,5.36333762,-55.85479014,520,0.00062485
mp-341,139,9.011081772,5.807854679,Pb1F4,0,80.9686323,,-1.9232784,-20.48557568,520,2.80E-06
mp-351,62,-23.9660397,5.981087487,Si4Ni4,0,96.37026818,,9.71265769,-48.84148612,520,7.37E-05
mp-352,14,-0.65084779,9.967762168,Hf4O8,0,140.2621226,,3.06173747,-122.1533033,520,0
mp-353,224,8.084075175,6.784389315,Ag4O2,0,113.4387562,,0.823626,-21.77034021,520,7.50E-07
mp-358,152,33.75630422,8.153570171,Hg3Te3,0.062844893,200.515466,,3.06666464,-10.97283802,520,1.33E-07
mp-361,224,1.109604256,6.028166001,Cu4O2,0,78.83288415,,4.19981375,-28.75913667,520,1.51E-05
mp-362,155,1.415806347,5.961737919,Ni3S2,0,66.90639883,,7.46774305,-27.44767597,520,2.77E-05
mp-363,180,4.094562997,7.967848883,Nb3Ge6,0,148.9176522,,5.65265933,-61.13130761,520,7.83E-05
mp-364,221,0.877932183,7.934754964,Al1Rh1,0,27.18199861,,8.9572583,-13.28595546,520,0.0007619
mp-371,221,-3.903238341,7.866826654,La3Tl1,0,131.1024587,,8.19883669,-18.12807326,520,0.0733777
mp-372,221,2.088465572,17.47473117,V1Pt3,0.01315118,60.45438601,,7.49706282,-29.027773,520,1.2623385
mp-374,191,-0.459039325,5.316402852,Cr1B2,0.070093048,22.99406808,,8.95125119,-24.01695421,520,0.0004644
mp-377,221,0.849303274,12.19330869,Lu1Rh1,0,37.84191364,,4.93205173,-13.9425054,520,8.76E-05
mp-379,216,8.296515447,5.811063535,Ag1Se1,0.137849559,53.38704662,,0.99419001,-6.14958657,520,0.0012595
mp-380,186,3.175413662,5.057366242,Zn2Se2,0.00482797,94.80442949,,1.33247261,-12.35102026,520,1.98E-05
mp-381,221,0.836698908,8.440175683,Si1Ru1,0.014211468,25.41034192,,10.87975683,-15.96746779,520,1.60E-06
mp-383,194,162.7375948,3.723767528,Rb8Te4,0.05661749,532.5037236,,1.15332296,-31.70321744,520,0.000173625
mp-384,14,6.641440193,2.46614174,Mg2P8,0,199.5764975,,5.17731842,-49.54971676,520,5.00E-08
mp-389,62,4.807846161,7.389211769,Si4Pd4,0,120.9068793,,7.78870045,-46.72764935,520,1.50E-06
mp-399,164,4.649285828,9.645396319,Te2Pt1,0,77.52031501,,7.28030193,-13.54288337,520,6.60E-06
mp-402,33,11.26826425,4.019570612,Cd4P8,0.000910445,288.1194675,,2.83922644,-48.43987827,520,0.000200875
mp-404,194,10.37461706,6.61072216,Mn2Te2,0.008071032,91.70300692,,6.72201897,-24.94139212,520,4.13393785
mp-406,216,4.872020683,5.472510161,Cd1Te1,0,72.82720795,,1.7731654,-4.98219499,520,3.86E-05
mp-408,225,1.457784166,3.035879902,Mg2Ge1,0,66.32026467,,3.28145004,-8.64168349,520,4.22E-05
mp-409,189,3.851075234,1.989344623,Na6S6,0.002528967,275.7307889,,2.0657495,-42.60836359,520,1.69E-05
