,Unnamed: 0,e_above_hull,final_energy,total_magnetization,spacenumber,minimum Number,maximum Number,range Number,mean Number,avg_dev Number,mode Number,minimum MendeleevNumber,maximum MendeleevNumber,range MendeleevNumber,mean MendeleevNumber,avg_dev MendeleevNumber,mode MendeleevNumber,minimum AtomicWeight,maximum AtomicWeight,range AtomicWeight,mean AtomicWeight,avg_dev AtomicWeight,mode AtomicWeight,minimum MeltingT,maximum MeltingT,range MeltingT,mean MeltingT,avg_dev MeltingT,mode MeltingT,minimum Column,maximum Column,range Column,mean Column,avg_dev Column,mode Column,minimum Row,maximum Row,range Row,mean Row,avg_dev Row,mode Row,minimum CovalentRadius,maximum CovalentRadius,range CovalentRadius,mean CovalentRadius,avg_dev CovalentRadius,mode CovalentRadius,minimum Electronegativity,maximum Electronegativity,range Electronegativity,mean Electronegativity,avg_dev Electronegativity,mode Electronegativity,minimum NsValence,maximum NsValence,range NsValence,mean NsValence,avg_dev NsValence,mode NsValence,minimum NpValence,maximum NpValence,range NpValence,mean NpValence,avg_dev NpValence,mode NpValence,minimum NdValence,maximum NdValence,range NdValence,mean NdValence,avg_dev NdValence,mode NdValence,minimum NfValence,maximum NfValence,range NfValence,mean NfValence,avg_dev NfValence,mode NfValence,minimum NValence,maximum NValence,range NValence,mean NValence,avg_dev NValence,mode NValence,minimum NsUnfilled,maximum NsUnfilled,range NsUnfilled,mean NsUnfilled,avg_dev NsUnfilled,mode NsUnfilled,minimum NpUnfilled,maximum NpUnfilled,range NpUnfilled,mean NpUnfilled,avg_dev NpUnfilled,mode NpUnfilled,minimum NdUnfilled,maximum NdUnfilled,range NdUnfilled,mean NdUnfilled,avg_dev NdUnfilled,mode NdUnfilled,minimum NfUnfilled,maximum NfUnfilled,range NfUnfilled,mean NfUnfilled,avg_dev NfUnfilled,mode NfUnfilled,minimum NUnfilled,maximum NUnfilled,range NUnfilled,mean NUnfilled,avg_dev NUnfilled,mode NUnfilled,minimum GSvolume_pa,maximum GSvolume_pa,range GSvolume_pa,mean GSvolume_pa,avg_dev GSvolume_pa,mode GSvolume_pa,minimum GSbandgap,maximum GSbandgap,range GSbandgap,mean GSbandgap,avg_dev GSbandgap,mode GSbandgap,minimum GSmagmom,maximum GSmagmom,range GSmagmom,mean GSmagmom,avg_dev GSmagmom,mode GSmagmom,minimum SpaceGroupNumber,maximum SpaceGroupNumber,range SpaceGroupNumber,mean SpaceGroupNumber,avg_dev SpaceGroupNumber,mode SpaceGroupNumber,minimum oxidation state,maximum oxidation state,range oxidation state,std_dev oxidation state,gaps
10,10,0.007263838000000001,-15.77972703,9e-07,194,22,22,0,22.0,0.0,22,43,43,0,43.0,0.0,43,47.867,47.867,0.0,47.867,0.0,47.867,1941.0,1941.0,0.0,1941.0,0.0,1941.0,4,4,0,4.0,0.0,4,4,4,0,4.0,0.0,4,160,160,0,160.0,0.0,160,1.54,1.54,0.0,1.54,0.0,1.54,2,2,0,2.0,0.0,2,0,0,0,0.0,0.0,0,2,2,0,2.0,0.0,2,0,0,0,0.0,0.0,0,4,4,0,4.0,0.0,4,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,8,8,0,8.0,0.0,8,0,0,0,0,0,0,8,8,0,8.0,0.0,8,16.69,16.69,0.0,16.69,0.0,16.69,0.0,0.0,0.0,0.0,0.0,0.0,2.25e-05,2.25e-05,0.0,2.25e-05,0.0,2.25e-05,194,194,0,194.0,0.0,194,0,0,0,0.0,0.0
11,11,0.160478616,-36.25997986,0.0,194,6,6,0,6.0,0.0,6,77,77,0,77.0,0.0,77,12.0107,12.0107,0.0,12.0107,0.0,12.0107,3823.0,3823.0,0.0,3823.0,0.0,3823.0,14,14,0,14.0,0.0,14,2,2,0,2.0,0.0,2,76,76,0,76.0,0.0,76,2.55,2.55,0.0,2.55,0.0,2.55,2,2,0,2.0,0.0,2,2,2,0,2.0,0.0,2,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,4,4,0,4.0,0.0,4,0,0,0,0.0,0.0,0,4,4,0,4.0,0.0,4,0,0,0,0.0,0.0,0,0,0,0,0,0,0,4,4,0,4.0,0.0,4,5.64,5.64,0.0,5.64,0.0,5.64,4.496,4.496,0.0,4.496,0.0,4.496,0.0,0.0,0.0,0.0,0.0,0.0,194,194,0,194.0,0.0,194,-4,4,8,5.656854248999999,4.483276999999999
12,12,0.0,-11.85554519,4.6899999999999995e-05,229,73,73,0,73.0,0.0,73,48,48,0,48.0,0.0,48,180.94788,180.94788,0.0,180.94788,0.0,180.94788,3290.0,3290.0,0.0,3290.0,0.0,3290.0,5,5,0,5.0,0.0,5,6,6,0,6.0,0.0,6,170,170,0,170.0,0.0,170,1.5,1.5,0.0,1.5,0.0,1.5,2,2,0,2.0,0.0,2,0,0,0,0.0,0.0,0,3,3,0,3.0,0.0,3,14,14,0,14.0,0.0,14,19,19,0,19.0,0.0,19,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,7,7,0,7.0,0.0,7,0,0,0,0,0,0,7,7,0,7.0,0.0,7,18.12,18.12,0.0,18.12,0.0,18.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229,229,0,229.0,0.0,229,0,0,0,0.0,0.0
13,13,0.00092082,-1.90705183,0.00010049999999999999,225,3,3,0,3.0,0.0,3,1,1,0,1.0,0.0,1,6.941,6.941,0.0,6.941,0.0,6.941,453.69,453.69,0.0,453.69,0.0,453.69,1,1,0,1.0,0.0,1,2,2,0,2.0,0.0,2,128,128,0,128.0,0.0,128,0.98,0.98,0.0,0.98,0.0,0.98,1,1,0,1.0,0.0,1,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,1,1,0,1.0,0.0,1,1,1,0,1.0,0.0,1,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,1.0,0.0,1,16.59333333,16.59333333,0.0,16.59333333,0.0,16.59333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229,229,0,229.0,0.0,229,0,0,0,0.0,0.0
14,14,0.135161236,-18.18062469,0.0,227,6,6,0,6.0,0.0,6,77,77,0,77.0,0.0,77,12.0107,12.0107,0.0,12.0107,0.0,12.0107,3823.0,3823.0,0.0,3823.0,0.0,3823.0,14,14,0,14.0,0.0,14,2,2,0,2.0,0.0,2,76,76,0,76.0,0.0,76,2.55,2.55,0.0,2.55,0.0,2.55,2,2,0,2.0,0.0,2,2,2,0,2.0,0.0,2,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,4,4,0,4.0,0.0,4,0,0,0,0.0,0.0,0,4,4,0,4.0,0.0,4,0,0,0,0.0,0.0,0,0,0,0,0,0,0,4,4,0,4.0,0.0,4,5.64,5.64,0.0,5.64,0.0,5.64,4.496,4.496,0.0,4.496,0.0,4.496,0.0,0.0,0.0,0.0,0.0,0.0,194,194,0,194.0,0.0,194,-4,4,8,5.656854248999999,5.517019
15,15,0.0,-12.67039872,0.0843585,194,21,21,0,21.0,0.0,21,11,11,0,11.0,0.0,11,44.955912,44.955912,0.0,44.955912,0.0,44.955912,1814.0,1814.0,0.0,1814.0,0.0,1814.0,3,3,0,3.0,0.0,3,4,4,0,4.0,0.0,4,170,170,0,170.0,0.0,170,1.36,1.36,0.0,1.36,0.0,1.36,2,2,0,2.0,0.0,2,0,0,0,0.0,0.0,0,1,1,0,1.0,0.0,1,0,0,0,0.0,0.0,0,3,3,0,3.0,0.0,3,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,9,9,0,9.0,0.0,9,0,0,0,0,0,0,9,9,0,9.0,0.0,9,22.235,22.235,0.0,22.235,0.0,22.235,0.0,0.0,0.0,0.0,0.0,0.0,6.35e-06,6.35e-06,0.0,6.35e-06,0.0,6.35e-06,194,194,0,194.0,0.0,194,0,0,0,0.0,0.0
16,16,0.04763396,-0.96889851,6.59e-05,229,37,37,0,37.0,0.0,37,4,4,0,4.0,0.0,4,85.4678,85.4678,0.0,85.4678,0.0,85.4678,312.46,312.46,0.0,312.46,0.0,312.46,1,1,0,1.0,0.0,1,5,5,0,5.0,0.0,5,220,220,0,220.0,0.0,220,0.82,0.82,0.0,0.82,0.0,0.82,1,1,0,1.0,0.0,1,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,1,1,0,1.0,0.0,1,1,1,0,1.0,0.0,1,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,1.0,0.0,1,90.7225,90.7225,0.0,90.7225,0.0,90.7225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229,229,0,229.0,0.0,229,0,0,0,0.0,0.0
17,17,0.0,-23.69138206,1.3000000000000001e-05,191,22,22,0,22.0,0.0,22,43,43,0,43.0,0.0,43,47.867,47.867,0.0,47.867,0.0,47.867,1941.0,1941.0,0.0,1941.0,0.0,1941.0,4,4,0,4.0,0.0,4,4,4,0,4.0,0.0,4,160,160,0,160.0,0.0,160,1.54,1.54,0.0,1.54,0.0,1.54,2,2,0,2.0,0.0,2,0,0,0,0.0,0.0,0,2,2,0,2.0,0.0,2,0,0,0,0.0,0.0,0,4,4,0,4.0,0.0,4,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,8,8,0,8.0,0.0,8,0,0,0,0,0,0,8,8,0,8.0,0.0,8,16.69,16.69,0.0,16.69,0.0,16.69,0.0,0.0,0.0,0.0,0.0,0.0,2.25e-05,2.25e-05,0.0,2.25e-05,0.0,2.25e-05,194,194,0,194.0,0.0,194,0,0,0,0.0,0.0
18,18,0.114489323,-7.78263803,0.0007056,229,22,22,0,22.0,0.0,22,43,43,0,43.0,0.0,43,47.867,47.867,0.0,47.867,0.0,47.867,1941.0,1941.0,0.0,1941.0,0.0,1941.0,4,4,0,4.0,0.0,4,4,4,0,4.0,0.0,4,160,160,0,160.0,0.0,160,1.54,1.54,0.0,1.54,0.0,1.54,2,2,0,2.0,0.0,2,0,0,0,0.0,0.0,0,2,2,0,2.0,0.0,2,0,0,0,0.0,0.0,0,4,4,0,4.0,0.0,4,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,8,8,0,8.0,0.0,8,0,0,0,0,0,0,8,8,0,8.0,0.0,8,16.69,16.69,0.0,16.69,0.0,16.69,0.0,0.0,0.0,0.0,0.0,0.0,2.25e-05,2.25e-05,0.0,2.25e-05,0.0,2.25e-05,194,194,0,194.0,0.0,194,0,0,0,0.0,0.0
19,19,0.0,-7.35700461,0.0009868000000000001,225,45,45,0,45.0,0.0,45,59,59,0,59.0,0.0,59,102.9055,102.9055,0.0,102.9055,0.0,102.9055,2237.0,2237.0,0.0,2237.0,0.0,2237.0,9,9,0,9.0,0.0,9,5,5,0,5.0,0.0,5,142,142,0,142.0,0.0,142,2.28,2.28,0.0,2.28,0.0,2.28,1,1,0,1.0,0.0,1,0,0,0,0.0,0.0,0,8,8,0,8.0,0.0,8,0,0,0,0.0,0.0,0,9,9,0,9.0,0.0,9,1,1,0,1.0,0.0,1,0,0,0,0.0,0.0,0,2,2,0,2.0,0.0,2,0,0,0,0,0,0,3,3,0,3.0,0.0,3,13.64,13.64,0.0,13.64,0.0,13.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225,225,0,225.0,0.0,225,0,0,0,0.0,0.0
